text,teks_bersih,teks_normal,teks_stopwords,teks_stemmed,teks_terjemah
"yaampun baru liat ni video nd baca kolom komentar,ciwi indo banyak yg maen dong❤❤",yaampun baru liat ni video nd baca kolom komentarciwi indo banyak yg maen dong,yaampun baru liat ni video nd baca kolom komentarciwi indo banyak yang maen dong,yaampun liat ni video nd baca kolom komentarciwi indo maen,yaampun liat ni video nd baca kolom komentarciwi indo maen,"Oh my gosh, look at this video and read the comments column Ciwi Indo Main"
Bng kpn lanjut main love and deepspace lagi?,bng kpn lanjut main love and deepspace lagi,bng kpn lanjut main love and deepspace lagi,bng kpn main love and deepspace,bng kpn main love and deepspace,"bro, when to play love and deepspace"
Bang lanjut story caleb dong☹️🙏,bang lanjut story caleb dong,bang lanjut story caleb dong,bang story caleb,bang story caleb,bro story caleb
bang winduy kapan lanjut story caleb nyaaa^^,bang winduy kapan lanjut story caleb nyaaa,bang winduy kapan lanjut story caleb nyaaa,bang winduy story caleb nyaaa,bang winduy story caleb nyaaa,Bro Winduy Caleb's story
seru bgt 3 jam yg ga kerasa wkwkw tp sedih caleb ga diunlock:(((,seru bgt jam yg ga kerasa wkwkw tp sedih caleb ga diunlock,seru banget jam yang ga kerasa tertawa tp sedih caleb ga diunlock,seru banget jam ga kerasa tertawa tp sedih caleb ga diunlock,seru banget jam ga rasa tertawa tp sedih caleb ga diunlock,It was really fun when I didn't feel like laughing but it was sad that Caleb wasn't unlocked
Terakhir bang tenangin diri lo😢😮,terakhir bang tenangin diri lo,terakhir bang tenangin diri lo,bang tenangin lo,bang tenangin lo,"bro, calm down"
"Aku baru liat sekarang, telat 11 bulan 😅🎉",aku baru liat sekarang telat bulan,aku baru liat sekarang telat bulan,liat telat,liat telat,look late
tenangin diri lo,tenangin diri lo,tenangin diri lo,tenangin lo,tenangin lo,calm down
bang lanjut story caleb yaa,bang lanjut story caleb yaa,bang lanjut story caleb yaa,bang story caleb yaa,bang story caleb yaa,"Bro, Caleb's story"
sumpah pengen download tapi ram kagak cukup🙂🙂,sumpah pengen download tapi ram kagak cukup,sumpah pengen download tapi ram kagak cukup,sumpah pengen download ram kagak,sumpah ken download ram kagak,I swear I can't download RAM
"Pesona sylus luar biasa sih, mangkanya cewe cewe suka termasuk aku juga",pesona sylus luar biasa sih mangkanya cewe cewe suka termasuk aku juga,pesona sylus luar biasa sih mangkanya cewe cewe suka termasuk aku juga,pesona sylus sih mangkanya cewe cewe suka,pesona sylus sih mangkanya cewe cewe suka,The charm of Sylus is that girls really like it
Kalo di ganti cwok jadi boy love bg 😹🤭,kalo di ganti cwok jadi boy love bg,kalo di ganti cwok jadi boy love bang,kalo ganti cwok boy love bang,kalo ganti cwok boy love bang,if you change to boy boy love bro
"Saylus jagoan gua 😎🥶
Favorit gua ini saylus",saylus jagoan gua favorit gua ini saylus,saylus jagoan gua favorit gua ini saylus,saylus jagoan gua favorit gua saylus,saylus jago gua favorit gua saylus,"saylus is good, my favorite is saylus"
"sama kaa, seharusnya pilih story ke3 dibawahnya sylus warna kuning",sama kaa seharusnya pilih story ke dibawahnya sylus warna kuning,sama kaa seharusnya pilih story ke dibawahnya sylus warna kuning,kaa pilih story dibawahnya sylus warna kuning,kaa pilih story bawah sylus warna kuning,Kaa select the story under the yellow sylus
Sama kak😂,sama kak,sama kak,kak,kak,Sis
Berapa emang? Sisain 30gb+ di aku size nya 35gb,berapa emang sisain gb di aku size nya gb,berapa emang sisain gb di aku size nya gb,emang sisain gb size nya gb,emang sisain gb size nya gb,I'm leaving the size GB
Duh telet 10 bulan gak ngaruh😂,duh telet bulan gak ngaruh,duh telet bulan gak ngaruh,duh telet gak ngaruh,duh telet gak ngaruh,"Oh, being too late doesn't matter"
"GAMEE INII EMANGG SESERUU ITUU PLCC, sukaaa bangett :3",gamee inii emangg seseruu ituu plcc sukaaa bangett,gamee inii emangg seseruu ituu plcc sukaaa bangett,gamee inii emangg seseruu ituu plcc sukaaa bangett,gamee ini emangg seseruu ituu plcc sukaaa bangett,"This game is really that fun, I really like it"
o,o,o,o,o,o
gada niatin lanjutin ini kah bang? 😔,gada niatin lanjutin ini kah bang,gada niatin lanjutin ini kah bang,gada niatin lanjutin kah bang,gada niatin lanjutin kah bang,"I have no intention of continuing, bro"
"48:42 aku mau ditelpon caleb, bang, eh udh stiap hari sih🤭",aku mau ditelpon caleb bang eh udh stiap hari sih,aku mau ditelpon caleb bang eh udh stiap hari sih,ditelpon caleb bang eh udh stiap sih,telpon caleb bang eh udh stiap sih,"Call Caleb, bro, I'm ready"
"""Badannya macho wajahnya tampan"" aka CALEB, itu jg favorit ku banggggg",badannya macho wajahnya tampan aka caleb itu jg favorit ku banggggg,badannya macho wajahnya tampan aka caleb itu juga favorit ku banggggg,badannya macho wajahnya tampan aka caleb favorit ku banggggg,badan macho wajah tampan aka caleb favorit ku banggggg,"macho body, handsome face, aka my favorite caleb, bro"
Thank you bang windah uda mainin gamee inii buat kitaa semuaa🎉,thank you bang windah uda mainin gamee inii buat kitaa semuaa,thank you bang windah uda mainin gamee inii buat kitaa semuaa,thank you bang windah uda mainin gamee inii kitaa semuaa,thank you bang windah uda mainin gamee ini kitaa semuaa,"Thank you, bro, Windah for playing this game, all of us"
Bang windah Islam bukan?? kok bilang astagfirullah,bang windah islam bukan kok bilang astagfirullah,bang windah islam bukan kok bilang astagfirullah,bang windah islam bilang astagfirullah,bang windah islam bilang astagfirullah,Bang Windah Islam said astagfirullah
cwook gw isi nya semua nya tuh,cwook gw isi nya semua nya tuh,cwook gw isi nya semua nya tuh,cwook gw isi nya nya tuh,cwook gw isi nya nya tuh,"Guys, I'm going to fill it in"
"Bang, makasih banyak udah mainin game ini. Dan paling aku suka adalah karakter Zayne, intinya makasih banyak banggg 🥺❤",bang makasih banyak udah mainin game ini dan paling aku suka adalah karakter zayne intinya makasih banyak banggg,bang makasih banyak sudah mainin game ini dan paling aku suka adalah karakter zayne intinya makasih banyak banggg,bang makasih mainin game suka karakter zayne intinya makasih banggg,bang makasih mainin game suka karakter zayne inti makasih banggg,"bro, thanks for playing the game, I like the character Zayne, core, thank you bro"
Makasi bang udah mau mainin game ini yaa. Makasih untuk ga standar ganda ☺️,makasi bang udah mau mainin game ini yaa makasih untuk ga standar ganda,makasi bang sudah mau mainin game ini yaa makasih untuk ga standar ganda,makasi bang mainin game yaa makasih ga standar ganda,makas bang mainin game yaa makasih ga standar ganda,"Thanks for playing the game, thanks for not having double standards"
lanjut bang 😭,lanjut bang,lanjut bang,bang,bang,bro
"Gw sebagai penyuka game lads yang ga bisa install karna keterbatasan penyimpanan di hp sungguh sangat berterimakasih kepada bang windah,makasih banget udh mainin game ini 🥹",gw sebagai penyuka game lads yang ga bisa install karna keterbatasan penyimpanan di hp sungguh sangat berterimakasih kepada bang windahmakasih banget udh mainin game ini,gw sebagai penyuka game lads yang ga bisa install karna keterbatasan penyimpanan di hp sungguh sangat berterimakasih kepada bang windahmakasih banget udh mainin game ini,gw penyuka game lads ga install karna keterbatasan penyimpanan hp sungguh berterimakasih bang windahmakasih banget udh mainin game,gw suka game lads ga install karna batas simpan hp sungguh berterimakasih bang windahmakasih banget udh mainin game,"I like the game, lads, I didn't install it because of the cellphone storage limit, really thank you, bro, Windah, thank you very much for playing the game"
Wah. Jujur gw baru tau bang windah pernah main lads,wah jujur gw baru tau bang windah pernah main lads,wah jujur gw baru tau bang windah pernah main lads,jujur gw tau bang windah main lads,jujur gw tau bang windah main lads,"Honestly, I know bro, Windah plays lads"
gelisah banget liatin pas topup😭😭😭,gelisah banget liatin pas topup,gelisah banget liatin pas topup,gelisah banget liatin pas topup,gelisah banget liatin pas topup,I'm really nervous looking at it when I top it up
terimakasih bangg udh main game inii❤ respect sama bg windahh. bikin part 2 dong banggg,terimakasih bangg udh main game inii respect sama bg windahh bikin part dong banggg,terimakasih bangg udh main game inii respect sama bang windahh bikin part dong banggg,terimakasih bangg udh main game inii respect bang windahh bikin part banggg,terimakasih bangg udh main game ini respect bang windahh bikin part banggg,"Thank you bro for playing this game. Respect bro, Windahh, you made this part, bro"
"Kalian jijik Ama ini game, cw ngeliat lu juga sebaliknya
Ngeri bngt org gk pernah ngaca ✋😭🤚",kalian jijik ama ini game cw ngeliat lu juga sebaliknya ngeri bngt org gk pernah ngaca,kalian jijik ama ini game cw ngeliat lu juga sebaliknya ngeri bngt org gk pernah ngaca,jijik ama game cw ngeliat lu ngeri bngt org gk ngaca,jijik ama game cw ngeliat lu ngeri bngt org gk ngaca,I'm disgusted by games when I see you're so horrified that people can't read
gue cowo pengen main karna gameplay dan grafiknya,gue cowo pengen main karna gameplay dan grafiknya,gue cowo pengen main karna gameplay dan grafiknya,gue cowo pengen main karna gameplay grafiknya,gue cowo ken main karna gameplay grafik,I'm a guy who wants to play because of the graphic gameplay
❤❤❤❤❤❤❤❤❤,,,,,
❤❤❤❤❤,,,,,
"51:50 pengen muntah gua liatnya, jangan ke pd an bang",pengen muntah gua liatnya jangan ke pd an bang,pengen muntah gua liatnya jangan ke pd an bang,pengen muntah gua liatnya pd an bang,ken muntah gua liat pd an bang,I'm going to vomit when I look at you bro
Lanjyut pls bangg,lanjyut pls bangg,lanjyut tolong bangg,lanjyut tolong bangg,lanjyut tolong bangg,carry on please bro
Ini live yang openingnya sampe 3x wkwkwk,ini live yang openingnya sampe x wkwkwk,ini live yang openingnya sampe x tertawa,live openingnya sampe x tertawa,live openingnya sampe x tertawa,The live opening made me laugh
Harus main sampai level atas. Baru kerasa kalo game ini ada susahnya. Kalo masih 3 jam main ya tentu aja belum ketemu sulitnya. Tapi susah/mudah tergantung masing-masing playernya 😃,harus main sampai level atas baru kerasa kalo game ini ada susahnya kalo masih jam main ya tentu aja belum ketemu sulitnya tapi susahmudah tergantung masingmasing playernya,harus main sampai level atas baru kerasa kalo game ini ada susahnya kalo masih jam main ya tentu saja belum ketemu sulitnya tapi susahmudah tergantung masingmasing playernya,main level kerasa kalo game susahnya kalo jam main ya ketemu sulitnya susahmudah tergantung masingmasing playernya,main level rasa kalo game susah kalo jam main ya ketemu sulit susahmudah gantung masingmasing playernya,"Play at the level of feeling, if the game is difficult, if you play for hours, you will find it difficult, difficult, easy, depending on each player"
"Bang, mau nanya kalau dari android, makan 23Gb ya? 
Soalnya waktu pertama kali download makan 3gb, tahu2 5 menit setelah login jadi 23Gb😮",bang mau nanya kalau dari android makan gb ya soalnya waktu pertama kali download makan gb tahu menit setelah login jadi gb,bang mau nanya kalau dari android makan gb ya soalnya waktu pertama kali download makan gb tahu menit setelah login jadi gb,bang nanya android makan gb ya kali download makan gb menit login gb,bang nanya android makan gb ya kali download makan gb menit login gb,"Bro, I'm asking for Android, eat GB, yes, download it, eat GB, login GB minutes"
itu ofline gk bg,itu ofline gk bg,itu ofline gk bang,ofline gk bang,ofline gk bang,offline or not bro
"Gemes bngt, bisa lanjutin ga bang❤❤",gemes bngt bisa lanjutin ga bang,gemes bngt bisa lanjutin ga bang,gemes bngt lanjutin ga bang,gemes bngt lanjutin ga bang,Are you really excited about continuing or not?
"aselinya Sylus tuh green flag parah, cuman ketutupan tampangnya aja wkwk",aselinya sylus tuh green flag parah cuman ketutupan tampangnya aja wkwk,aselinya sylus tuh green flag parah cuman ketutupan tampangnya saja tertawa,aselinya sylus tuh green flag parah cuman ketutupan tampangnya tertawa,aselinya sylus tuh green flag parah cuman tutup tampang tertawa,"In fact, Sylus is a serious green flag, just covering his face laughing"
"7:29 kalau gitu, jadinya beda genre dong 😭",kalau gitu jadinya beda genre dong,kalau gitu jadinya beda genre dong,gitu beda genre,gitu beda genre,that's a different genre
BANG WINDAH LANJUT CERITANYAA PLSS,bang windah lanjut ceritanyaa plss,bang windah lanjut ceritanyaa plss,bang windah ceritanyaa plss,bang windah ceritanyaa plss,"Bro, what's the story pls?"
Itu kalo mau unlock Caleb. Harus main story Homecoming Wings itu.😊😊,itu kalo mau unlock caleb harus main story homecoming wings itu,itu kalo mau unlock caleb harus main story homecoming wings itu,kalo unlock caleb main story homecoming wings,kalo unlock caleb main story homecoming wings,If you unlock Caleb main story Homecoming Wings
"Sumpah ketawa bgt pas bang winda bilang klo evolnya ayel air, padahal mah api dan dia tuh ""GOD SEA""🤣🤣🤣🤣🔥🔥🔥🔥🫂",sumpah ketawa bgt pas bang winda bilang klo evolnya ayel air padahal mah api dan dia tuh god sea,sumpah ketawa banget pas bang winda bilang klo evolnya ayel air padahal mah api dan dia tuh god sea,sumpah ketawa banget pas bang winda bilang klo evolnya ayel air mah api tuh god sea,sumpah ketawa banget pas bang winda bilang klo evolnya ayel air mah api tuh god sea,"I swear, I really laughed when Winda said that if Evol is the word water, fire is God Sea"
"bang main game ini lagi dungg, mw yg chapter homecoming wings, itu story yg cyborg banghh",bang main game ini lagi dungg mw yg chapter homecoming wings itu story yg cyborg banghh,bang main game ini lagi dungg mw yang chapter homecoming wings itu story yang cyborg banghh,bang main game dungg mw chapter homecoming wings story cyborg banghh,bang main game dungg mw chapter homecoming wings story cyborg banghh,"bro, play the game dungg mw chapter homecoming wings story cyborg bro"
Wah gak nyangka bang windah maen lads ! 😃✨,wah gak nyangka bang windah maen lads,wah gak nyangka bang windah maen lads,gak nyangka bang windah maen lads,gak nyangka bang windah maen lads,I didn't expect Windah to play Lads
Bangh pengen bangh windah lanjutin inii😭😭💔🥀,bangh pengen bangh windah lanjutin inii,bangh pengen bangh windah lanjutin inii,bangh pengen bangh windah lanjutin inii,bangh ken bangh windah lanjutin ini,bangh ken bangh windah continue this
